"TICKET MANAGEMENT — Field Definitions","","","",""
"Field","Data Type","Validation / Notes","NULL Info","Why?"
"Create Date","DateTime","Auto-stamped on creation","NOT NULL","Autostamp to find the origin"
"Created By","String","Merchant ","NOT NULL","PSM — identifies who raised the ticket"
"Ticket ID","Integer (Auto-increment)","System-generated, unique","NOT NULL","To track the ticket in future"
"First Response (mins)","Integer (Minutes)","Time from creation to first reply","NULL","First conversation initiated — SLA metric"
"PID","String (Alphanumeric)","Must match an existing PID","NOT NULL","Links ticket to property — requirements from LL"
"Ticket Description","String (Long text)","","NOT NULL","Detailed explanation to understand the issue"
"Ticket Owner","Drop-Down","","NOT NULL","PSM — responsible for resolution"
"Ticket Category","Enum (Dropdown)","","NOT NULL","To understand the type of query"
"Priority","Enum (Low / Medium / High / Critical)","","NOT NULL","Shows the intensity of the query"
"Ticket Status","Enum (Open / In Progress / Resolved / Closed)","","NOT NULL","To see the progress of the ticket"
"Notes","String (Long text)","Append-only; timestamp each entry","NULL","Actions done towards the resolution"
"Cost paid by Flent","Enum","","",""
"Recovered from Tenant","Enum","","",""
"Recovered from Merchant","Enum","","",""
"Time to Close (hours)","Integer (Minutes)","Auto-calculated when Status → Closed","NULL","Track resolution time — SLA metric"
