"Group","Field API Name","Field Label","Data Type","Enum Values / Format","Input Method","Justification"
"TRANSACTION CORE — identity and direction of every transaction","","","","","",""
"transaction_core","utn","UTN (Unique Transaction Number)","string","TXN-YYYYMMDD-XXXXX","System","Auto-generated unique identifier for every transaction record. Format encodes date + sequence. Dedup key used for cross-referencing with contracts, contacts, and payment gateway records. Never manually edited after creation."
"transaction_core","credit_debit","Credit / Debit","enum","Credit / Debit","Manual","Direction of money flow from the platform's perspective. Credit = money coming in (e.g. tenant paying rent). Debit = money going out (e.g. landlord payout, refund). Always set explicitly — never inferred — to prevent reconciliation errors."
"transaction_core","transaction_date","Transaction Date","date","YYYY-MM-DD","Manual / Webhook","Date the transaction actually occurred — not the date the record was created. Used for period-level financial reporting and reconciliation. May differ from created_date if entered retrospectively or imported from a payment gateway."
"transaction_core","amount","Amount (INR)","number","Positive value only","Manual / Webhook","Transaction value in INR. Always stored as a positive number regardless of Credit/Debit direction. Direction is captured separately in credit_debit. Enables clean aggregations without sign-handling logic."
"transaction_core","transaction_status","Transaction Status","enum","Pending / Completed / Failed / Reversed / Disputed / Approved","Webhook / Manual","Current state of the transaction. Pending = initiated but not confirmed. Completed = money moved and confirmed. Failed = attempt rejected by gateway. Reversed = completed but subsequently reversed (e.g. chargeback, reversal). Disputed = under investigation. Drives collection workflows and reconciliation flags."
"TRANSACTION CLASSIFICATION — what this transaction is for","","","","","",""
"transaction_classification","purpose_category_1","Purpose Category 1","enum","OPEX, CAPEX, INTEREST, SALARY, REIMBURSEMENT, REVENUE, REFUNDS, COGS","Manual","Top-level accounting classification. Maps directly to P&L and balance sheet line items. Revenue = income from tenants. COGS = direct cost of delivering the service (e.g. landlord payout). OpEx = operating expenses. Transfer = inter-account movement. Drives financial reporting rollups and period-close."
"transaction_classification","purpose_category_2","Purpose Category 2","enum","DEPOSIT, TRANSPORT, FIXTURES, OFFICE, EMPLOYEE, CONSULTANT, CONTRACTOR, INVENTORY, TECH, MARKETING, FOOD AND BEVERAGES,","Manual","Sub-classification within Category 1. Maps the transaction to the specific business event it represents. Essential for contract-level P&L reconciliation — e.g. distinguishing Rent from FMR from SD even when all are Revenue. This is the field that links financial data back to the tenant lifecycle stages."
"transaction_classification","type_details","Type Details","enum","Standard / Advance / Reversal / Refund / Write-off / Depreciation / SDT (Security Deposit Tenant) / SDM (Security Deposit Merchant) / Advance / Adjustment / Write-off","Manual","Accounting-level detail beneath Category 2. Used for specific transaction subtypes that require different treatment. SDT = deposit received from the tenants. SDM = deposit from merchants. Depreciation = asset write-down entry. Adjustment = correction to a prior transaction. Essential for accurate books."
"TRANSACTION PARTIES — who money flows between","","","","","",""
"transaction_parties","from_party","From (Payer)","string","Company name or individual full name","Manual","Name of the entity sending money. Free text (not a lookup) to handle external parties not in CRM — e.g. tenants paying via bank transfer with no HubSpot record, or third-party employers. For internal parties, use exact registered name for reconciliation consistency."
"transaction_parties","from_party_type","From Party Type","enum","Tenant / Landlord / Vendor / Platform / Third Party / Government","Manual","Classification of the payer. Enables filtering without text matching on from_party names. Tenant = rent payments, deposits. Landlord = rare (e.g. landlord contributing to repairs). Platform = internal transfer. Government = TDS refunds, GST credits."
"transaction_parties","from_party_info","From Party information","string","GST Number, PAN Card, Address etc","Derived","GSTIN number, Address of the person paying the money"
