"Group","Field API Name","Field Label","Data Type","Enum Values / Format","Input Method","Justification"
"TICKET IDENTITY","pipeline","Pipeline","enumeration","Tenant, Landlord","Manual","Identifies whether the ticket is raised in the context of a Tenant or Landlord relationship."
"TICKET IDENTITY","ticket_id","Ticket ID","number","Primary key","Workflow","Unique system-generated identifier for each ticket. Primary key for lookups and deduplication."
"TICKET IDENTITY","create_date","Create Date","datetime","YYYY-MM-DD HH:MM","Workflow","Timestamp of ticket creation. Baseline for SLA calculations and reporting."
"TICKET IDENTITY","created_by","Created By ","text/email","Tenant ID","Workflow","Email or name of the user who raised the ticket. Audit trail for ticket origin."
"TICKET IDENTITY","ticket_name","Ticket Name","string","","Manual","Short title summarising the issue. Used for display and search."
"TICKET IDENTITY","ticket_description","Ticket Description","string","","Manual","Full description of the issue or request. Provides context for resolution."
"TICKET IDENTITY","ticket_owner","Ticket Owner","enumeration","srashti@flent.in, cs@flent.in","Manual","Assigned internal owner responsible for ticket progress and closure."
"TICKET IDENTITY","conversation_id","Conversation ID","string","","Workflow","Links ticket to associated communication thread for traceability."
"TICKET IDENTITY","rid","RID","string[]","","Manual","Room identifier. Links ticket to specific room within a property."
"CATEGORISATION","ticket_category","Ticket Category","enumeration","Plumbing, Carpentry, Electrical, Utility, Inventory, Appliance, Agreement, Reimbursement, Other","Manual","Primary classification of the ticket type. Drives routing and vendor assignment."
"CATEGORISATION","time_slot","Date-Time slot","datetime[]","","Manual","Preferred or scheduled time slot for vendor visit or resolution activity."
"CATEGORISATION","ticket_status","Ticket Status","enumeration","New Request, Waiting on Customer, Waiting on Vendor, Waiting on Product, Blocked, Waiting on Landlord, Waiting for Payment, Ready for Closure, Closed","Workflow","Current lifecycle stage of the ticket. Drives workflow transitions and SLA tracking."
"CATEGORISATION","waiting_time*","","","","","Calculates waiting time outside of SLA hours"
"CATEGORISATION","category","Category","enumeration","Pre Move-In, Gestation, Active","Manual","Tenancy phase during which the ticket was raised. Used for segmentation and reporting."
"CATEGORISATION","ticket_flag","Ticket Flag","enumeration","Reasonable, Not Reasonable, Subjective","Manual","Internal assessment of ticket validity or reasonableness. Informs cost attribution decisions."
"CATEGORISATION","flag_notes","Flag Notes","string","","Manual","Supporting notes for the ticket flag classification. Provides context for disputes or reviews."
"CATEGORISATION","priority","Priority","enumeration","Low, Medium, High, Urgent","Manual","Urgency level assigned to the ticket. Governs response and resolution SLA targets."
"EXECUTION","resolution_notes","Resolution Notes","string","","Manual","Details of actions taken to resolve the ticket. Required for closure and audit."
"EXECUTION","cost_paid_by_flent","","number","Amount paid by us","Manual","Monetary cost incurred in resolving the ticket. Used for cost attribution and reporting."
"EXECUTION","collected_from_tenant","","number","collected amount from tenant","Manual","Party responsible for bearing the resolution cost. Drives reimbursement workflows."
"EXECUTION","collected_from_merchant","","number","collected amount from merchant","",""
"EXECUTION","total_cost","","number","net net","","paid - collected"
"EXECUTION","transaction_id","Transaction ID","string[]","","Workflow","Reference to the financial transaction associated with cost recovery or payment."
"EXECUTION","assigned_vendor","Assigned Vendor","string","","Manual","Name of the external vendor assigned to execute the resolution."
"EXECUTION","vendor_group_chat_id","Vendor Group Chat ID","string","","Workflow","Identifier of the vendor coordination group chat. Enables communication traceability."
"EXECUTION","related_tickets","Related Tickets","string (array)","","Workflow","List of ticket IDs linked to this ticket. Enables clustering of related issues."
"SLA & FEEDBACK","time_to_close_sla_hours","Time to Close in SLA Hours","number","","Workflow","Elapsed time from creation to closure measured against SLA target in hours."
"SLA & FEEDBACK","time_to_first_rep_assignment","Time to First Rep Assignment","number","","Workflow","Time taken from ticket creation to first internal rep being assigned. Measures responsiveness."
"SLA & FEEDBACK","time_to_first_response_sla_hours","Time to First Response in SLA Hours","number","","Workflow","Time from creation to first customer-facing response, measured against SLA benchmark."
"SLA & FEEDBACK","tenant_rating","Tenant Rating","enumeration","1, 2, 3, 4, 5","Manual","Post-resolution satisfaction rating provided by tenant. Input to CSAT scoring."
"SLA & FEEDBACK","csat_feedback","CSAT Feedback","string","","Manual","Qualitative feedback from tenant following ticket closure. Used for service improvement."
"SLA & FEEDBACK","csat_response","CSAT Response","number","","Manual","Internal response or acknowledgement to tenant CSAT feedback."
