"Group","Field API Name","Field Label","Data Type","Agreement Type","Enum Values / Format","Input Method","Justification"
"CONTRACT IDENTITY","","","","","","",""
"contract_identity","primary_key","UUID","string","L & L, Auth, CS","","System","Unique primary key"
"contract_identity","party_name_tenant","Party Name Landlord","derived","L & L, Auth, CS","","Derived","Legal name of the contracting party. Required for agreement generation."
"contract_identity","party_name_merchant","Party Name Merchant","dervied","L & L, Auth, CS","","Derived","Primary identifier. Links contract to tenant contact record."
"contract_identity","contract_type","Contract Type","enum","L & L, Auth, CS","Authrisation, L&L and CS","Manual",""
"CONTRACT TERMS","","","","","","",""
"contract_terms","lock_in_duration","Lock-in Duration","number","","","Manual","Duration of lock-in period in months. Governs early exit fee applicability."
"contract_terms","lock_in_end_date","Lock-in End Date","date","","YYYY-MM-DD","Workflow","Computed from contract start date + lock-in duration. Triggers exit fee logic."
"contract_terms","contract_start_date","Contract Start Date","date","","YYYY-MM-DD","Manual","Legally binding start of tenancy. Anchor for all date-derived calculations."
"contract_terms","contract_end_date","Contract End Date","date","","YYYY-MM-DD","Workflow","Legally binding end of tenancy. Triggers notice and move-out workflows."
"contract_terms","preferred_move_out_date","Preferred Move Out Date","date","","YYYY-MM-DD","Manual",""
"TENANT LIFECYCLE STATUS — always reflects current state; system-written only, never manually edited","","","","","","",""
"tenant_lifecycle_status","payment_lifecycle","Payment Lifecycle Stage","enum","","Token Paid / FMR and Security Deposit Cleared / Payments Done","Workflow (system-only)","SINGLE SOURCE OF TRUTH for tenant stage. Never manually edited — every transition is triggered by a system event. Replaces customer_type, tenant_status, lifecyclestage, hs_lead_status, inbound_lead_status (5 overlapping fields retired)."
"tenant_lifecycle_status","agreement_lifecycle","Agreement Lifecycle Stage","enum","","L&L and C&S Released / L&L Signed / C&S Signed ","Workflow (system-only)","SINGLE SOURCE OF TRUTH for tenant stage. Never manually edited — every transition is triggered by a system event. Replaces customer_type, tenant_status, lifecyclestage, hs_lead_status, inbound_lead_status (5 overlapping fields retired)."
"COMMERCIALS","","","","","","",""
"contract_commercials","total_retail_rent","Total Retail Rent","number","L & L, CS","","Derived","Gross rack rent before any discounts or adjustments. Baseline for pricing analysis."
"contract_commercials","monthly_license_fee","Monthly License Fee","number","L & L, CS","","Derived / Workflow","Actual monthly fee payable under license agreement structure."
"contract_commercials","maintenance_fee","Maintenance Fee","number","L & L, CS","","Derived / Workflow","Monthly maintenance charge billed to tenant."
"contract_commercials","furnishing_fee","Furnishing Fee","number","L & L, CS","","Workflow","Additional fee for furnished inventory provided."
"contract_commercials","convenience_fee","Convenience Fee","number","L & L, CS","","Workflow","Platform or service convenience charge."
"contract_commercials","gst","GST","number","L & L, CS","","Workflow","Tax computed on applicable fee components per GST rules."
"contract_commercials","discount_amount","Discount Amount","number","L & L, CS","","Manual","Absolute discount applied against total retail rent."
"contract_commercials","effective_retail_rent","Effective Retail Rent","number","L & L, CS","","Workflow","Net rent payable after discount. Derived: total_retail_rent − discount_amount."
"contract_commercials","security_deposit","Security Deposit","number","L & L, CS","","Workflow","Refundable security amount collected at agreement signing."
"contract_commercials","caution_deposit","Caution Deposit","number","L & L, CS","","Workflow","Refundable caution amount held against damages or defaults."
"contract_commercials","lock_in_fee","Lock-in Fee","number","L & L, CS","","Workflow","Fee charged for the lock-in commitment period."
"contract_commercials","exit_fee","Exit Fee","number","L & L, CS","","Manual","Penalty levied on early exit within lock-in period."
"contract_commercials","notice_period","Notice Period","number","L & L, CS","","Manual",""
"DEDUCTIONS","","","","","","",""
"contract_deductions","damages_deductions","Damages Deductions","number","","","Manual","Amount deducted from deposit for physical property damages on exit."
"contract_deductions","society_fees","Society Fees","number","","","Manual","Unpaid society charges recoverable from tenant deposit."
"contract_deductions","penalty","Penalty","number","","","Manual","Contractual penalties levied for rule violations or late payments."
"contract_deductions","total_deductions","Total Deductions","number","","","Workflow","Sum of all deduction line items. Derived: damages + society_fees + penalty + utility_payments (overheads)."
"CONTRACT STATUS","","","","","","",""
"contract_status","fmr_status","FMR Status","enum","","—","Workflow","First Month Rent collection status. Dropdown values to be defined."
"contract_status","deposit_paid_status","Deposit Paid Status","enum","","—","Workflow","Tracks whether security/caution deposit has been received."
"contract_status","rent_payment_months","Rent Payment Months","string","","Append each month rent received e.g. Jan-2026, Feb-2026","Workflow","Running log of months for which rental payment has been received. Appended on each payment event. Enables payment streak and default detection."
