"Group","Field API Name","Field Label","Data Type","Enum Values / Format","Input Method","Justification"
"TENANT IDENTITY — permanent, never changes","","","","","",""
"tenant_identity","record_id","Record ID","string","","System","Unique primary key"
"tenant_identity","firstname","First Name","string","","Manual","Core identity. Dedup key with email."
"tenant_identity","lastname","Last Name","string","","Manual","Core identity."
"tenant_identity","email","Email","string","","Manual","Primary identifier and dedup key."
"tenant_identity","mobilephone","Mobile Phone","string","+91XXXXXXXXXX","Manual","Primary reach channel; WhatsApp tied to this."
"tenant_identity","whatsapp_phone","WhatsApp Phone","string","+91XXXXXXXXXX","Manual","If WhatsApp is on different phone."
"tenant_identity","gender","Gender","enum","Male / Female","Manual","Required for flatmate matching and room allocation rules."
"tenant_identity","date_of_birth","Date of Birth","date","YYYY-MM-DD","Manual","Currently a string in the facebook_ads group. Fix to date type; move to identity group. Used for age verification."
"tenant_identity","aadhar_number","Aadhaar Number","string","XXXX XXXX XXXX","Workflow / Manual","Primary KYC document. Mandatory for agreement generation."
"tenant_identity","aadhar_front_side","Aadhaar Front (Image)","string","File URL","Workflow / Manual","KYC image. Stored as file URL."
"tenant_identity","aadhar_back_side","Aadhaar Back (Image)","string","File URL","Workflow / Manual","KYC image."
"tenant_identity","tenant_pan_card","PAN","string","AAAPX1234A","Workflow / Manual","Tax document. Required for agreement and TDS."
"tenant_identity","pan_card_link","PAN Card Image","string","File URL","Workflow / Manual","Generated link to PAN. Written by document tool."
"tenant_identity","linkedin","LinkedIn URL","string","URL","Workflow / Manual","Tenant's LinkedIn profile URL. Optional — used for professional background context and employer verification support during BGV."
"tenant_identity","twitter","Twitter (X) URL","string","URL","Workflow / Manual","Tenant's Twitter/X profile URL. Optional social identity field. Useful for informal background context."
"tenant_identity","Instagram","Instagram ID","string","URL","Workflow / Manual","Tenant's Instagram profile URL/username. Optional social identity field. Useful for informal background context."
"tenant_identity","occupation","Occupation","string","","Manual","Not captured today. Needed for tenant profiling and BGV context."
"tenant_identity","employer_name","Employer Name","string","","Manual","Not captured today. Required input for background verification."
"TENANT ATTRIBUTION — captured at first touch, never overwritten","","","","","",""
"tenant_attribution","first_touch_date","Create Date","datetime","ISO 8601","Workflow","Set once when contact record is created. Note: if using HubSpot's native createdate field, the API name should be 'createdate' not 'first_touch_date'. Clarify before build: are these the same field or two distinct ones?"
"tenant_attribution","first_inquiry_channel","Channel","enum","WhatsApp / Website / Instagram / Facebook / Direct Call / Walk-in / Platform / Referral / Offline Activation","Workflow / Manual","More granular than lead_source. Captures exact medium of first contact. Drives channel ROI reporting."
"tenant_attribution","source_drilldown_1","Source Drilldown 1","enum","Google Ads / Meta Ads / Instagram Ads / YouTube Ads / Housing.com / MagicBricks / NoBroker / 99acres / WhatsApp Organic / Walk-in / Referral / Direct Call / Other","Manual","Specific channel within the source category (e.g. Google Ads within Paid, Housing.com within Portal). More granular than first_inquiry_channel. Drives channel-level ROI and CAC analysis."
"tenant_attribution","source_drilldown_2","Source Drilldown 2","enum","Specific sub-source: campaign name, referring partner, agent name, ad set, referral contact name, property portal listing ID, etc.","Manual","Second level of source granularity beneath drilldown_1. Captures the exact sub-source (e.g. specific ad campaign within Google Ads, or the name of the person who referred). Free-form or lightly structured depending on source type."
"tenant_attribution","wax_code","WAX-Code","string","","System","Internal platform-generated identifier. Used for cross-system record linkage between HubSpot and internal property management systems."
"tenant_attribution","google_click_id","Google Click ID","string","","System","Auto-captured Google Ads click ID (gclid) from URL params. Used for paid search attribution and Google Ads conversion tracking. HubSpot native field."
"tenant_attribution","facebook_click_id","Facebook Click ID","string","","System","Auto-captured Facebook Ads click ID (fbclid) from URL params. Used for paid social attribution. HubSpot native field."
"tenant_attribution","utm_source","UTM Source","string","","Workflow","Auto-captured from URL params."
"tenant_attribution","utm_medium","UTM Medium","string","","Workflow","Auto-captured from URL params."
"tenant_attribution","utm_campaign","UTM Campaign","string","","Workflow","Auto-captured from URL params."
