"Group","Field API Name","Field Label","Data Type","Enum Values / Format","Input Method","Justification","","","","","","","","","","","","","","","","","",""
"Room Identity","","","","","","","","","","","","","","","","","","","","","","","",""
"room_identity","rid","RID","string","","Workflow","Unique room identifier. Primary key for all room-level operations, contracts, and matching.","","","","","","","","","","","","","","","","","",""
"room_identity","pid","PID","string","Must match a valid PID","Workflow","Foreign key to parent property. Enables property-to-room hierarchy and roll-up reporting.","","","","","","","","","","","","","","","","","",""
"Room Specifications","","","","","","","","","","","","","","","","","","","","","","","",""
"room_specifications","attached_bathroom","Attached Bathroom","boolean","true / false","Manual","Drives pricing differential and tenant preference filtering.","","","","","","","","","","","","","","","","","",""
"room_specifications","balcony","Balcony","boolean","true / false","Manual","Amenity flag. Impacts listing quality and tenant desirability score.","","","","","","","","","","","","","","","","","",""
"Furnishing & Inventory","","","","","","","","","","","","","","","","","","","","","","","",""
"furnishing_inventory","bed_type","Bed Type","enum","Single / Double / Queen / King","Manual","Specific to room. Required for listing accuracy and tenant expectation setting.","","","","","","","","","","","","","","","","","",""
"furnishing_inventory","ac_feasibility","AC Feasibility","","","","","","","","","","","","","","","","","","","","","",""
"furnishing_inventory","ac","AC","boolean","true / false","Manual","High-impact amenity. Directly affects pricing band and tenant filtering.","","","","","","","","","","","","","","","","","",""
"furnishing_inventory","ac_type","AC Type","enum","Split / Window / Portable / Not Possible","Manual","AC specification for maintenance and listing detail. Only populated when AC = true.","","","","","","","","","","","","","","","","","",""
"furnishing_inventory","study_table","Study Table","boolean","true / false","Manual","Working space flag. Important for student and WFH tenant segments.","","","","","","","","","","","","","","","","","",""
"furnishing_inventory","annexure","Annexure","file","File Upload","Manual","Room-specific walkthrough media. Primary evidence for condition disputes at exit.","","","","","","","","","","","","","","","","","",""
"furnishing_inventory","annexure_last_update_date","Annexure Last Update Date","date","YYYY-MM-DD","Workflow","Tracks when the annexure was last refreshed. Ensures documentation is current at each tenancy.","","","","","","","","","","","","","","","","","",""
"Commercials","","","","","","","","","","","","","","","","","","","","","","","",""
"commercials","base_rent","Base Rent (INR)","decimal","","Manual","Room-level listed rent. Source of truth for pricing. Property-level rent is an aggregate of room rents.","","","","","","","","","","","","","","","","","",""
"commercials","maintenance_fee","Maintenance Fee (INR)","decimal","","Manual","Room-specific maintenance charge. May differ across rooms in a property.","","","","","","","","","","","","","","","","","",""
"Availability & Status","","","","","","","","","","","","","","","","","","","","","","","",""
"availability_status","room_status","Room Status","enum","Available / Occupied / Under Maintenance / Blocked","Workflow","Current operational state. Drives availability display, matching eligibility, and PSM task triggers.","","","","","","","","","","","","","","","","","",""
"availability_status","current_contract_id","Current Contract ID","string","Links to active Contract record","Workflow","Foreign key to active contract. NULL when room is vacant. Enables fast occupancy lookup.","","","","","","","","","","","","","","","","","",""
"availability_status","current_tenant_name","Current Tenant Name","string","Denormalized from Contract","Workflow","Display field for quick reference. Avoids join to contract and contact objects.","","","","","","","","","","","","","","","","","",""
"availability_status","available_from","Available From","date","YYYY-MM-DD","Workflow","Earliest date room can be occupied. Drives availability calendar and lead matching.","","","","","","","","","","","","","","","","","",""
